Family,Genus,Species,Region,Range size (km),Body size (cm),Mean PLD (days),Depth range (m),Schooler,Spawn,Nocturnal,Multi-Habitat,Transpacific,Reference
BLENNIIDAE,Hypleurochilus,bermudensis,TA,3819,10.2,25.4,6,NO,DEM,NO,NO,NO,PS*
BLENNIIDAE,Ophioblennius,macclurei,TA,4199,20,38,8,NO,DEM,NO,NO,NO,10
BLENNIIDAE,Ophioblennius,steindachneri,TEP,5148,25,50,18,NO,DEM,NO,NO,NO,12
BLENNIIDAE,Parablennius,marmoreus,TA,10861,10.8,23.4,10,NO,DEM,NO,NO,NO,PS*
BLENNIIDAE,Parablennius,pilicornis,TA,10995,12.7,30.5,25,NO,DEM,NO,NO,NO,13
BLENNIIDAE,Petroscirtes,fallax,ICP,2530,9.5,21,15,NO,DEM,NO,NO,NO,6
BLENNIIDAE,Petroscirtes,mitratus,ICP,17000,8,24.5,15,NO,DEM,NO,YES,NO,6
BOTHIDAE,Bothus,mancus,ICP,27631,48,69.3,147,NO,PEL,NO,YES,YES,PS*
BOTHIDAE,Bothus,pantherinus,ICP,21011,30,63.7,147,NO,PEL,NO,YES,NO,PS*
BOTHIDAE,Bothus,podas,TA,9115,45,33.7,385,NO,PEL,NO,YES,NO,7
CAESIONIDAE,Caesio,caerulaurea,ICP,17390,35,22,45,YES,PEL,NO,NO,NO,PS*
CAESIONIDAE,Pterocaesio,chrysozona,ICP,13040,21,42,40,YES,PEL,NO,NO,NO,14
CAESIONIDAE,Pterocaesio,marri,ICP,19840,35,42,5,YES,PEL,NO,NO,NO,15
CALLIONYMIDAE,Synchiropus,splendidus,ICP,6800,6,36,17,NO,DEM,NO,YES,NO,2
CARANGIDAE,Atule,mate,ICP,19720,30,50,79,YES,PEL,NO,YES,NO,16
CARANGIDAE,Caranx,melampygus,ICP,19720,100,57.6,190,YES,PEL,NO,YES,YES,PS*
CARAPIDAE,Carapus,mourlani,ICP,21011,17,73,149,NO,PEL,YES,NO,NO,PS*
CARAPIDAE,Encheliophis,boraborensis,ICP,15611,30,50.2,149,NO,PEL,YES,NO,NO,PS*
CARAPIDAE,Encheliophis,gracilis,ICP,19720,27.5,74.6,61,NO,PEL,YES,NO,NO,PS*
CARAPIDAE,Encheliophis,homei,ICP,15611,19,79.9,30,NO,PEL,YES,NO,NO,PS*
CHAENOPSIDAE,Acanthemblemaria,aspera,TA,4091,4,20.7,12,NO,DEM,NO,NO,NO,PS*
CHAENOPSIDAE,Chaenopsis,limbaughi,TA,2582,8.2,30.5,15,NO,DEM,NO,YES,NO,PS*
CHAENOPSIDAE,Emblemaria,pandionis,TA,3819,7,25.3,11,NO,DEM,NO,YES,NO,PS*
CHAETODONTIDAE,Chaetodon,auriga,ICP,21500,23,44.27,34,NO,PEL,NO,YES,NO,"2,3,17"
CHAETODONTIDAE,Chaetodon,baronessa,ICP,8876,16,35.5,15,NO,PEL,NO,NO,NO,"2,3"
CHAETODONTIDAE,Chaetodon,capistratus,TA,4199,20,38,18,NO,PEL,NO,YES,NO,PS*
CHAETODONTIDAE,Chaetodon,citrinellus,ICP,18549,13,50.5,35,NO,PEL,NO,NO,NO,PS*
CHAETODONTIDAE,Chaetodon,collare,ICP,7810,18,43,12,NO,PEL,NO,YES,NO,2
CHAETODONTIDAE,Chaetodon,ephippium,ICP,14637,23,38.5,30,NO,PEL,NO,NO,NO,PS*
CHAETODONTIDAE,Chaetodon,flavirostris,ICP,8369,20,47.27,18,NO,PEL,NO,YES,NO,17
CHAETODONTIDAE,Chaetodon,kleinii,ICP,21500,15,56,57,NO,PEL,NO,NO,NO,2
CHAETODONTIDAE,Chaetodon,lineolatus,ICP,18323,30,54,169,NO,PEL,NO,NO,NO,2
CHAETODONTIDAE,Chaetodon,lunula,ICP,21500,21,43,30,NO,PEL,NO,NO,NO,PS*
CHAETODONTIDAE,Chaetodon,lunulatus,ICP,11849,15,39.3,17,NO,PEL,NO,NO,NO,PS*
CHAETODONTIDAE,Chaetodon,miliaris,ICP,1397,13,60,250,NO,PEL,NO,NO,NO,16
CHAETODONTIDAE,Chaetodon,ocellatus,TA,9391,15,35.5,30,NO,PEL,NO,YES,NO,PS*
CHAETODONTIDAE,Chaetodon,ornatissimus,ICP,16879,18,62.5,35,NO,PEL,NO,NO,NO,PS*
CHAETODONTIDAE,Chaetodon,plebeius,ICP,10000,15,44,10,NO,PEL,NO,NO,NO,"3,6,18"
CHAETODONTIDAE,Chaetodon,rainfordi,ICP,2000,15,31.4,14,NO,PEL,NO,NO,NO,"6,18"
CHAETODONTIDAE,Chaetodon,sedentarius,TA,10039,18,52,87,NO,PEL,NO,NO,NO,PS*
CHAETODONTIDAE,Chaetodon,speculum,ICP,8700,18,44.7,27,NO,PEL,NO,NO,NO,"2,PS"
CHAETODONTIDAE,Chaetodon,striatus,TA,10477,20,49,52,NO,PEL,NO,YES,NO,PS*
CHAETODONTIDAE,Chaetodon,trifascialis,ICP,19500,18,35.7,28,NO,PEL,NO,NO,NO,"2,PS"
CHAETODONTIDAE,Chaetodon,ulietensis,ICP,11992,15,41,28,NO,PEL,NO,YES,NO,PS*
CHAETODONTIDAE,Chaetodon,unimaculatus,ICP,16986,20,35,59,NO,PEL,NO,NO,YES,2
CHAETODONTIDAE,Chaetodon,vagabundus,ICP,18323,23,42.26,30,NO,PEL,NO,YES,NO,"19,PS"
CHAETODONTIDAE,Chelmon,rostratus,ICP,7170,20,26.25,24,NO,PEL,NO,YES,NO,"2,6"
CHAETODONTIDAE,Forcipiger,flavissimus,ICP,27631,22,50.7,113,NO,PEL,NO,NO,YES,2
CHAETODONTIDAE,Heniochus,acuminatus,ICP,19500,25,40.83,73,NO,PEL,NO,NO,NO,3
CHAETODONTIDAE,Heniochus,chrysostomus,ICP,13455,18,32.7,38,NO,PEL,NO,YES,NO,PS*
CHAETODONTIDAE,Heniochus,diphreutes,ICP,16823,21,32,195,YES,PEL,NO,NO,NO,2
CIRRHITIDAE,Cirrhitichthys,oxycephalus,ICP,27631,10,51,39,NO,PEL,NO,YES,YES,2
CIRRHITIDAE,Neocirrhites,armatus,ICP,8033,9,48,9,NO,PEL,NO,NO,NO,2
CIRRHITIDAE,Oxycirrhites,typus,ICP,27891,13,69,90,NO,PEL,NO,NO,YES,2
CIRRHITIDAE,Paracirrhites,arcatus,ICP,20329,14,49.7,90,NO,PEL,NO,NO,NO,PS*
DACTYLOPTERIDAE,Dactyloptena,orientalis,ICP,20629,40,43.4,99,NO,PEL,YES,YES,NO,PS*
DACTYLOPTERIDAE,Dactylopterus,volitans,TA,12289,45,24,99,NO,PEL,YES,YES,NO,PS*
DACTYLOSCOPIDAE,Dactyloscopus,crossotus,TA,9501,7.5,19.7,8,NO,DEM,NO,NO,NO,PS*
DACTYLOSCOPIDAE,Gillellus,greyae,TA,8030,9.8,28.5,8,NO,DEM,NO,NO,NO,PS*
DACTYLOSCOPIDAE,Gillellus,uranidea,TA,2582,4.5,20.9,12,NO,DEM,NO,NO,NO,PS*
EPHIPPIDAE,Platax,pinnatus,ICP,7120,45,25,15,YES,PEL,NO,YES,NO,2
EPINEPHELIDAE,Cephalopholis,argus,ICP,19720,60,27.5,39,NO,PEL,NO,NO,NO,PS*
EPINEPHELIDAE,Cephalopholis,boenak,ICP,13862,26,31,63,NO,PEL,NO,YES,NO,PS*
EPINEPHELIDAE,Cephalopholis,urodeta,ICP,10242,27,24.3,59,NO,PEL,NO,NO,NO,PS*
EPINEPHELIDAE,Cromileptes,altivelis,ICP,8753,70,24,38,NO,PEL,NO,NO,NO,2
EPINEPHELIDAE,Epinephelus,adscensionis,TA,11294,62,40,119,NO,PEL,NO,NO,NO,10
EPINEPHELIDAE,Epinephelus,akaara,ICP,3300,30,30,50,NO,PEL,NO,NO,NO,PS*
EPINEPHELIDAE,Epinephelus,areolatus,ICP,16358,40,18,194,NO,PEL,NO,YES,NO,PS*
EPINEPHELIDAE,Epinephelus,corallicola,ICP,7869,49,41,25,NO,PEL,NO,YES,NO,3
EPINEPHELIDAE,Epinephelus,hexagonatus,ICP,21500,26,24.7,30,NO,PEL,NO,NO,NO,PS*
EPINEPHELIDAE,Epinephelus,itajara,TA,11294,250,55,95,NO,PEL,NO,YES,NO,50
EPINEPHELIDAE,Epinephelus,marginatus,TA,13077,150,24.6,292,NO,PEL,NO,NO,NO,7
EPINEPHELIDAE,Epinephelus,merra,ICP,19458,32,29.6,50,NO,PEL,NO,NO,NO,PS*
EPINEPHELIDAE,Epinephelus,striatus,TA,4199,100,42,89,NO,PEL,NO,YES,NO,51
EPINEPHELIDAE,Mycteroperca,bonaci,TA,8000,150,41,27,NO,PEL,NO,YES,NO,52
EPINEPHELIDAE,Mycteroperca,microlepis,TA,10000,145,43,112,NO,PEL,NO,YES,NO,52
EPINEPHELIDAE,Plectropomus,leopardus,ICP,9157,120,25.2,97,NO,PEL,NO,NO,NO,55
EPINEPHELIDAE,Plectropomus,maculatus,ICP,6305,125,27,95,NO,PEL,NO,YES,NO,39
FISTULARIIDAE,Fistularia,commersonii,ICP,27631,150,46,132,NO,PEL,NO,YES,YES,PS*
GOBIIDAE,Amblygobius,phalaena,ICP,13362,15,19.66,18,NO,DEM,NO,YES,NO,20
GOBIIDAE,Barbulifer,ceuthoecus,TA,9501,3,39.2,5,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Bathygobius,coalitus,ICP,19840,12,40,5,NO,DEM,NO,NO,NO,21
GOBIIDAE,Bathygobius,soporator,TA,11294,15,29,16,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Coryphopterus,glaucofraenum,TA,10477,8,25.26,43,NO,DEM,NO,YES,NO,"22,PS"
GOBIIDAE,Coryphopterus,kuna,TA,2790,2.2,61.35,15,NO,DEM,NO,YES,NO,23
GOBIIDAE,Elacatinus,evelynae,TA,2582,4,22.3,52,NO,DEM,NO,NO,NO,24
GOBIIDAE,Elacatinus,macrodon,TA,2967,5,28.7,7,NO,DEM,NO,NO,NO,PS*
GOBIIDAE,Elacatinus,oceanops,TA,1577,5,30,44,NO,DEM,NO,NO,NO,PS*
GOBIIDAE,Elacatinus,randalli,TA,970,4.6,38,60,NO,DEM,NO,NO,NO,PS*
GOBIIDAE,Eviota,melasma,ICP,9792,3.2,26.2,20,NO,DEM,NO,NO,NO,PS*
GOBIIDAE,Eviota,queenslandica,ICP,8666,3,24.2,19,NO,DEM,NO,NO,NO,PS*
GOBIIDAE,Eviota,sigillata,ICP,11312,2.5,24.7,17,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Gnatholepis,cauerensis,ICP,18549,5.3,39.8,48,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Gnatholepis,thompsoni,TA,12000,8.2,73,50,NO,DEM,NO,YES,NO,"10,14,22,PS"
GOBIIDAE,Gobiosoma,grosvenori,TA,3212,3,21.3,2,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Koumansetta,rainfordi,ICP,8000,8,33.76,28,NO,DEM,NO,YES,NO,"6,20"
GOBIIDAE,Lythrypnus,dalli,TEP,5148,6.4,58.3,76,NO,DEM,NO,NO,NO,"25,26,27"
GOBIIDAE,Microgobius,carri,TA,9026,7.5,33.3,15,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Nes,longus,TA,2967,10,29,23,NO,DEM,NO,YES,NO,PS*
GOBIIDAE,Paragobiodon,echinocephalus,ICP,19500,4,36,9,NO,DEM,NO,NO,NO,6
GOBIIDAE,Paragobiodon,lacunicolus,ICP,16770,3,31,20,NO,DEM,NO,NO,NO,6
GOBIIDAE,Paragobiodon,melanosomus,ICP,10354,3.5,42.3,14,NO,DEM,NO,NO,NO,6
GOBIIDAE,Priolepis,hipoliti,TA,3819,4,55.4,129,NO,DEM,NO,NO,NO,PS*
GOBIIDAE,Trimma,benjamini,ICP,7567,3,33.9,45,NO,DEM,NO,NO,NO,28
GOBIIDAE,Trimma,nasa,ICP,6880,2.8,33.9,41,NO,DEM,NO,NO,NO,29
HAEMULIDAE,Anisotremus,surinamensis,TA,10861,76,19.5,20,NO,PEL,NO,NO,NO,"31,PS"
HAEMULIDAE,Anisotremus,virginicus,TA,10861,40,16.95,18,YES,PEL,NO,NO,NO,"31,PS"
HAEMULIDAE,Haemulon,aurolineatum,TA,10861,25,19.3,30,YES,PEL,NO,YES,NO,PS*
HAEMULIDAE,Haemulon,chrysargyreum,TA,7595,23,22,25,YES,PEL,NO,YES,NO,PS*
HAEMULIDAE,Haemulon,flavolineatum,TA,4091,30,17,60,YES,PEL,NO,YES,NO,"30,31"
HAEMULIDAE,Haemulon,melanurum,TA,4199,35,18.4,47,YES,PEL,NO,YES,NO,PS*
HAEMULIDAE,Haemulon,parra,TA,10764,41,17.3,27,YES,PEL,NO,YES,NO,"31,PS"
HAEMULIDAE,Haemulon,plumierii,TA,10764,53,22.6,37,NO,PEL,NO,YES,NO,PS*
HAEMULIDAE,Haemulon,striatum,TA,9391,28,21.125,90,YES,PEL,NO,YES,NO,PS*
HOLOCENTRIDAE,Holocentrus,adscensionis,TA,11294,45,55.6,180,YES,PEL,YES,NO,NO,"10,14,32"
HOLOCENTRIDAE,Holocentrus,rufus,TA,9391,44,44.1,32,YES,PEL,YES,NO,NO,32
HOLOCENTRIDAE,Myripristis,jacobus,TA,11294,25,53.8,100,YES,PEL,YES,NO,NO,"10,32"
HOLOCENTRIDAE,Myripristis,pralinia,ICP,19840,20,67,42,NO,PEL,YES,NO,NO,PS*
HOLOCENTRIDAE,Neoniphon,argenteus,ICP,18549,19,41,37,NO,PEL,YES,NO,NO,PS*
HOLOCENTRIDAE,Neoniphon,marianus,TA,3819,22,39.3,69,NO,PEL,YES,NO,NO,32
HOLOCENTRIDAE,Neoniphon,sammara,ICP,19720,30,47,46,YES,PEL,YES,NO,NO,PS*
HOLOCENTRIDAE,Plectrypops,retrospinis,TA,10386,15,43.6,17,NO,PEL,YES,NO,NO,32
HOLOCENTRIDAE,Sargocentron,coruscum,TA,3819,13.5,35.5,29,NO,PEL,YES,NO,NO,32
HOLOCENTRIDAE,Sargocentron,microstoma,ICP,15099,19,40.3,182,NO,PEL,YES,NO,NO,PS*
HOLOCENTRIDAE,Sargocentron,punctatissimum,ICP,23259,13,45,183,NO,PEL,YES,YES,NO,PS*
HOLOCENTRIDAE,Sargocentron,spiniferum,ICP,21500,45,39.8,121,NO,PEL,YES,NO,NO,PS*
HOLOCENTRIDAE,Sargocentron,vexillarium,TA,3819,17.2,35.9,19,NO,PEL,YES,NO,NO,32
LABRIDAE,Anampses,caeruleopunctatus,ICP,23400,42,25,27,NO,PEL,NO,NO,NO,2
LABRIDAE,Anampses,chrysocephalus,ICP,2100,17,29.5,127,NO,PEL,NO,NO,NO,33
LABRIDAE,Anampses,cuvier,ICP,2100,31,44.5,24,NO,PEL,NO,NO,NO,33
LABRIDAE,Anampses,twistii,ICP,20000,18,28.8,25,NO,PEL,NO,NO,NO,33
LABRIDAE,Bodianus,axillaris,ICP,21325,20,23.5,98,NO,PEL,NO,NO,NO,33
LABRIDAE,Bodianus,bilunulatus,ICP,19375,55,66.8,152,NO,PEL,NO,NO,NO,33
LABRIDAE,Bodianus,diplotaenia,TEP,7363,76,39.85,71,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Bodianus,eclancheri,TEP,3860,60,32.3,41,NO,PEL,NO,NO,NO,34
LABRIDAE,Bodianus,mesothorax,ICP,4977,25,30.3,35,NO,PEL,NO,NO,NO,33
LABRIDAE,Bodianus,perditio,ICP,20329,80,59.6,140,NO,PEL,NO,NO,NO,PS*
LABRIDAE,Bodianus,rufus,TA,10861,50,36.6,69,NO,PEL,NO,NO,NO,33
LABRIDAE,Bolbometopon,muricatum,ICP,21680,130,31,29,YES,PEL,NO,NO,NO,2
LABRIDAE,Cheilinus,chlorourus,ICP,19580,36,27.1,29,NO,PEL,NO,NO,NO,33
LABRIDAE,Cheilinus,fasciatus,ICP,17000,36,25.7,56,NO,PEL,NO,YES,NO,33
LABRIDAE,Cheilinus,trilobatus,ICP,19000,40,29.6,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Cheilinus,undulatus,ICP,21325,229,34.3,99,NO,PEL,NO,YES,NO,33
LABRIDAE,Cheilio,inermis,ICP,23400,50,56.1,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Choerodon,anchorago,ICP,8700,38,19.3,24,NO,PEL,NO,YES,NO,33
LABRIDAE,Choerodon,fasciatus,ICP,6908,30,20,30,NO,PEL,NO,NO,NO,2
LABRIDAE,Choerodon,graphicus,ICP,1876,46,27,29,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Cirrhilabrus,cyanopleura,ICP,6235,10,25.55,28,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Cirrhilabrus,scottorum,ICP,8369,13,27,37,NO,PEL,NO,NO,NO,PS*
LABRIDAE,Cirrhilabrus,temminkii,ICP,4980,10,27.3,32,NO,PEL,NO,NO,NO,"2,6"
LABRIDAE,Clepticus,parrae,TA,4199,30,38.5,39,YES,PEL,NO,NO,NO,33
LABRIDAE,Coris,aygula,ICP,20158,120,51.5,28,NO,PEL,NO,YES,NO,"2,3"
LABRIDAE,Coris,batuensis,ICP,14574,17,27.55,30,NO,PEL,NO,YES,NO,"2,6,33"
LABRIDAE,Coris,flavovittata,ICP,2100,50.8,53,97,NO,PEL,NO,YES,NO,33
LABRIDAE,Coris,gaimard,ICP,11600,40,45.76,49,NO,PEL,NO,YES,NO,"2,33"
LABRIDAE,Coris,picta,ICP,3148,25,46.2,22,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Coris,venusta,ICP,2100,19.3,46.1,8,NO,PEL,NO,YES,NO,33
LABRIDAE,Cymolutes,lecluse,ICP,2100,17.8,75.9,118,NO,PEL,NO,YES,NO,33
LABRIDAE,Cymolutes,praetextatus,ICP,17970,20,71,5,NO,PEL,NO,NO,NO,33
LABRIDAE,Diproctacanthus,xanthurus,ICP,5400,8,17.3,18,NO,PEL,NO,NO,NO,33
LABRIDAE,Doratonotus,megalepis,TA,11433,9.4,21.9,14,NO,PEL,NO,YES,NO,33
LABRIDAE,Epibulus,insidiator,ICP,20000,54,30.4,41,NO,PEL,NO,NO,NO,33
LABRIDAE,Gomphosus,varius,ICP,11600,30,56.6,28,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Halichoeres,adustus,TEP,3000,12.5,33,2,NO,PEL,NO,NO,NO,34
LABRIDAE,Halichoeres,argus,ICP,11258,12,25,10,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,biocellatus,ICP,7959,12,24.26,28,NO,PEL,NO,YES,NO,"2,33"
LABRIDAE,Halichoeres,bivittatus,TA,9391,22,22.3,14,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Halichoeres,chierchiae,TEP,4530,17.5,31.3,67,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Halichoeres,chloropterus,ICP,6200,19,21.1,10,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,chrysus,ICP,6160,12,26.1,58,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,discolor,TEP,10,15,32,26,NO,PEL,NO,NO,NO,34
LABRIDAE,Halichoeres,dispilus,TEP,5675,25,40.25,74,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,garnoti,TA,3819,30,24.9,78,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Halichoeres,hortulanus,ICP,20600,27,32.5,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,insularis,TEP,30,7,35.5,3,NO,PEL,NO,YES,NO,34
LABRIDAE,Halichoeres,maculipinna,TA,3819,15,29.5,22,NO,PEL,NO,YES,NO,"3,33,PS"
LABRIDAE,Halichoeres,margaritaceus,ICP,13400,12.5,21.7,5,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,marginatus,ICP,20600,18,22.2,30,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,melanotis,TEP,4530,15,35.7,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,melanurus,ICP,8957,12,24.53,24,NO,PEL,NO,NO,NO,"6,33"
LABRIDAE,Halichoeres,nebulosus,ICP,13040,12,23.9,39,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,nicholsi,TEP,4530,38,31.4,50,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Halichoeres,notospilus,TEP,5675,25,37.7,10,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Halichoeres,ornatissimus,ICP,11600,18,39.5,11,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,pictus,TA,4091,13,24.9,20,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,poeyi,TA,10764,20,24.1,14,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,prosopeion,ICP,8957,13,21.2,38,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,radiatus,TA,8198,51,24.55,53,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Halichoeres,richmondi,ICP,7380,19,20.8,28,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,scapularis,ICP,14900,20,24.4,8,NO,PEL,NO,YES,NO,33
